64 [[51.54103284135823, -0.1568462776779315], 0.036458333333333336]
65 [[51.54440526807848, -0.1378413337441241], 0.03125]
66 [[51.54018842551858, -0.1596638953636812], 0.078125]
67 [[51.51994222691813, -0.13134653807667546], 0.026041666666666668]
68 [[51.51872753168696, -0.1167793907171267], 0.005208333333333333]
69 [[51.540984460059406, -0.14345624759760922], 0.078125]
70 [[51.521734443762384, -0.10847040026557164], 0.09895833333333333]
71 [[51.51970072257629, -0.1370218160360685], 0.14583333333333334]
72 [[51.52345099607996, -0.11642542016501839], 0.005208333333333333]
73 [[51.53415394206114, -0.14021901010619583], 0.140625]
74 [[51.519519533191584, -0.11828698637216814], 0.046875]
75 [[51.55336951339355, -0.15714700522215364], 0.0]
76 [[51.52089613783457, -0.13260247308775164], 0.08854166666666667]
77 [[51.54656546580475, -0.16421225726398675], 0.046875]
78 [[51.53170495984294, -0.14143387512048883], 0.0]
79 [[51.52266374359288, -0.11574198945516417], 0.036458333333333336]
80 [[51.533280630640064, -0.14042602981915475], 0.0625]
81 [[51.54305293482902, -0.1646031955863888], 0.020833333333333332]
82 [[51.5525336963692, -0.15189659860349947], 0.057291666666666664]
83 [[51.52230772091678, -0.14089767722758864], 0.041666666666666664]
84 [[51.52288092023022, -0.11341623644786616], 0.08854166666666667]
85 [[51.544679219013275, -0.14372876347965235], 0.052083333333333336]
86 [[51.54406571322206, -0.13700615871344624], 0.14583333333333334]
87 [[51.56192281906878, -0.1495155149709918], 0.0]
88 [[51.5463424856181, -0.14388891958127076], 0.13020833333333334]
89 [[51.53876520785927, -0.14152527768966994], 0.390625]
90 [[51.51721876111048, -0.11736885977428783], 0.046875]
91 [[51.51670639276911, -0.12610936575282466], 0.19791666666666666]
92 [[51.526647982836415, -0.12551964525095455], 0.10416666666666667]
93 [[51.52287646156617, -0.11481577710421381], 0.036458333333333336]
94 [[51.51869651539502, -0.1293382861485808], 0.0]
95 [[51.522567811237465, -0.1178217873312915], 0.03125]
96 [[51.52766874301237, -0.13522764310171734], 0.010416666666666666]
97 [[51.53489570700488, -0.1333932395291862], 0.09895833333333333]
98 [[51.55001942045382, -0.1490001416013364], 0.041666666666666664]
99 [[51.52538942533221, -0.13146478731539582], 0.10416666666666667]
100 [[51.5508864919795, -0.1696179155583359], 0.046875]
101 [[51.555350256284115, -0.16635376564969157], 0.16145833333333334]
102 [[51.541858656985255, -0.1410419183928227], 0.046875]
103 [[51.52331366794587, -0.1350217475601065], 0.07291666666666667]
104 [[51.52936263006504, -0.14140247269662454], 0.0]
105 [[51.52308809665679, -0.1347954379867192], 0.09895833333333333]
106 [[51.55012951737483, -0.1326499453982104], 0.03125]
107 [[51.527797611890435, -0.11832067461585617], 0.06770833333333333]
108 [[51.5175879140031, -0.12543021254303516], 0.109375]
109 [[51.534988481853375, -0.141718207338007], 0.234375]
110 [[51.52805926641097, -0.12704125534392935], 0.09895833333333333]
111 [[51.543716229844485, -0.16118472696364228], 0.0]
112 [[51.54612561845515, -0.1476518140529752], 0.005208333333333333]
113 [[51.52149472440466, -0.12258250982037266], 0.015625]
114 [[51.54756374575017, -0.12990464965998924], 0.0]
115 [[51.52110103161151, -0.12979188512077044], 0.10416666666666667]
116 [[51.522033205624325, -0.11539982392621781], 0.0]
117 [[51.54263010942689, -0.13936160834501088], 0.0]
118 [[51.5203938449893, -0.1289989490509586], 0.057291666666666664]
