62 [51.543808507363494, -0.13874511463373262]
63 [51.55470480918132, -0.16583464397577202]
64 [51.54103284135823, -0.1568462776779315]
65 [51.54440526807848, -0.1378413337441241]
66 [51.54018842551858, -0.1596638953636812]
67 [51.51994222691813, -0.13134653807667546]
68 [51.51872753168696, -0.1167793907171267]
69 [51.540984460059406, -0.14345624759760922]
70 [51.521734443762384, -0.10847040026557164]
71 [51.51970072257629, -0.1370218160360685]
72 [51.52345099607996, -0.11642542016501839]
73 [51.53415394206114, -0.14021901010619583]
74 [51.519519533191584, -0.11828698637216814]
75 [51.55336951339355, -0.15714700522215364]
76 [51.52089613783457, -0.13260247308775164]
77 [51.54656546580475, -0.16421225726398675]
78 [51.53170495984294, -0.14143387512048883]
79 [51.52266374359288, -0.11574198945516417]
80 [51.533280630640064, -0.14042602981915475]
81 [51.54305293482902, -0.1646031955863888]
82 [51.5525336963692, -0.15189659860349947]
83 [51.52230772091678, -0.14089767722758864]
84 [51.52288092023022, -0.11341623644786616]
85 [51.544679219013275, -0.14372876347965235]
86 [51.54406571322206, -0.13700615871344624]
87 [51.56192281906878, -0.1495155149709918]
88 [51.5463424856181, -0.14388891958127076]
89 [51.53876520785927, -0.14152527768966994]
90 [51.51721876111048, -0.11736885977428783]
91 [51.51670639276911, -0.12610936575282466]
92 [51.526647982836415, -0.12551964525095455]
93 [51.52287646156617, -0.11481577710421381]
94 [51.51869651539502, -0.1293382861485808]
95 [51.522567811237465, -0.1178217873312915]
96 [51.52766874301237, -0.13522764310171734]
97 [51.53489570700488, -0.1333932395291862]
98 [51.55001942045382, -0.1490001416013364]
99 [51.52538942533221, -0.13146478731539582]
100 [51.5508864919795, -0.1696179155583359]
101 [51.555350256284115, -0.16635376564969157]
102 [51.541858656985255, -0.1410419183928227]
103 [51.52331366794587, -0.1350217475601065]
104 [51.52936263006504, -0.14140247269662454]
105 [51.52308809665679, -0.1347954379867192]
106 [51.55012951737483, -0.1326499453982104]
107 [51.527797611890435, -0.11832067461585617]
108 [51.5175879140031, -0.12543021254303516]
109 [51.534988481853375, -0.141718207338007]
110 [51.52805926641097, -0.12704125534392935]
111 [51.543716229844485, -0.16118472696364228]
112 [51.54612561845515, -0.1476518140529752]
113 [51.52149472440466, -0.12258250982037266]
114 [51.54756374575017, -0.12990464965998924]
115 [51.52110103161151, -0.12979188512077044]
116 [51.522033205624325, -0.11539982392621781]
117 [51.54263010942689, -0.13936160834501088]
118 [51.5203938449893, -0.1289989490509586]
119 [51.51773427929734, -0.12260281350451631]
120 [51.5559961757762, -0.14923946343008415]
121 [51.55055631238004, -0.15109092786220119]
122 [51.55032187344854, -0.16502660805195163]
123 [51.51959441574749, -0.1229576076504364]
124 [51.539718504428635, -0.15272939976248698]
125 [51.52519133985326, -0.14305210423941955]
126 [51.52573131676357, -0.13355097248850722]
127 [51.52333018739435, -0.12520048495026526]
128 [51.55786228030167, -0.14784561514545425]
129 [51.51813081184244, -0.1339781113402943]
130 [51.54200703560272, -0.1562290833632492]
131 [51.54606025435851, -0.1439460729667996]
132 [51.52189800405134, -0.1404016941168399]
133 [51.539464719563234, -0.13535700504129272]
134 [51.52037193700539, -0.12614312941191055]
135 [51.53575924490996, -0.14623877899241167]
136 [51.526670394348585, -0.12469642535633088]
137 [51.51902036360171, -0.11592578561572216]
138 [51.535840230952644, -0.1414724419821621]
139 [51.55867940249655, -0.143690136465074]
140 [51.53840170924255, -0.13348084055753445]
141 [51.54907834517746, -0.13862875607271385]
142 [51.52851846248571, -0.1417145689519893]
143 [51.519528769528414, -0.1321997412495325]
144 [51.557343789492904, -0.16794351198540725]
145 [51.53612013470574, -0.14173122242428388]
146 [51.53751468132759, -0.14299183621974193]
147 [51.52138857913074, -0.13626076150889097]
148 [51.523922780220744, -0.1405987202024057]
149 [51.52758712008974, -0.12816860326058158]
150 [51.52851715374308, -0.14233462395097035]
151 [51.55092921802255, -0.1492979667785519]
