80 [[51.533315603504626, -0.14043742362771977], [51.5332456577755, -0.14041463601058976]]
81 [[51.543211314185314, -0.1646408787761187], [51.54289455547273, -0.16456551239665893]]
82 [[51.552477463013155, -0.15199826254022186], [51.55258992972525, -0.15179493466677704]]
83 [[51.52238686582966, -0.14099348617127902], [51.5222285760039, -0.14080186828389826]]
84 [[51.52284113016049, -0.1135579820193525], [51.522920710299964, -0.11327449087637982]]
85 [[51.544675095763644, -0.14363620807686245], [51.5446833422629, -0.14382131888244223]]
86 [[51.54400528404477, -0.13709509823576918], [51.54412614239935, -0.13691721919112332]]
87 [[51.56191420538146, -0.14959702671598976], [51.56193143275611, -0.14943400322599382]]
88 [[51.54639869126633, -0.14388495305431953], [51.546286279969856, -0.14389288610822196]]
89 [[51.53887058983309, -0.14164306833329363], [51.538659825885446, -0.14140748704604625]]
90 [[51.51724249103469, -0.11725906034000078], [51.51719503118626, -0.11747865920857489]]
91 [[51.51663753717593, -0.12615524597998917], [51.51677524836228, -0.12606348552566013]]
92 [[51.52657175882435, -0.12545206581340318], [51.52672420684848, -0.1255872246885059]]
93 [[51.52286008248647, -0.11487162938822622], [51.52289284064588, -0.11475992482020139]]
94 [[51.51880117109237, -0.129091720916282], [51.51859185969767, -0.12958485138087963]]
95 [[51.52254681097369, -0.11793092024019954], [51.522588811501244, -0.11771265442238346]]
96 [[51.52763928601976, -0.1353073207564894], [51.52769820000498, -0.13514796544694527]]
97 [[51.53496058201854, -0.13324266893204167], [51.534830831991215, -0.13354381012633068]]
98 [[51.55007674333414, -0.149058959536529], [51.549962097573506, -0.14894132366614377]]
99 [[51.52532293611523, -0.1313881394038361], [51.52545591454918, -0.13154143522695555]]
100 [[51.55083428192366, -0.16961886752241784], [51.55093870203533, -0.169616963594254]]
101 [[51.55530265411373, -0.16631366245687218], [51.5553978584545, -0.16639386884251095]]
102 [[51.541973859796414, -0.14114086815791296], [51.5417434541741, -0.14094296862773248]]
103 [[51.52337964228479, -0.13508793782995984], [51.523247693606955, -0.1349555572902531]]
104 [[51.52936245134447, -0.1414260296219176], [51.5293628087856, -0.14137891577133144]]
105 [[51.523148077955625, -0.13485561560154125], [51.52302811535797, -0.13473526037189715]]
106 [[51.55009698383505, -0.13262215812289574], [51.55016205091461, -0.13267773267352503]]
107 [[51.52777959477727, -0.1184028453024165], [51.52781562900359, -0.11823850392929584]]
108 [[51.51751201332306, -0.125346779771913], [51.51766381468313, -0.12551364531415732]]
109 [[51.535031295391505, -0.14158491342891621], [51.53494566831525, -0.1418515012470978]]
110 [[51.528109336717655, -0.1269135743565864], [51.528009196104286, -0.1271689363312723]]
111 [[51.54373304654168, -0.160974744579377], [51.54369941314729, -0.16139470934790756]]
112 [[51.54616649836833, -0.14750104524085908], [51.54608473854197, -0.14780258286509132]]
113 [[51.5213433915928, -0.12245288779791064], [51.521646057216515, -0.1227121318428347]]
114 [[51.54755489284713, -0.12988910622783945], [51.5475725986532, -0.12992019309213904]]
115 [[51.52133586506651, -0.13005777463903995], [51.5208661981565, -0.12952599560250097]]
116 [[51.52204712960463, -0.11531627895237928], [51.52201928164401, -0.11548336890005635]]
117 [[51.542647432851346, -0.13931202594641676], [51.54261278600243, -0.139411190743605]]
118 [[51.52056937693485, -0.1291965354255692], [51.52021831304375, -0.12880136267634798]]
119 [[51.517757151718044, -0.12254637519899368], [51.517711406876636, -0.12265925181003894]]
120 [[51.555905748980216, -0.14915530208752567], [51.556086602572194, -0.1493236247726426]]
121 [[51.550616491874656, -0.15113356177232895], [51.550496132885414, -0.15104829395207342]]
122 [[51.550336714765756, -0.16499642303199513], [51.55030703213132, -0.1650567930719081]]
123 [[51.51958006216056, -0.12299336014594713], [51.51960876933442, -0.12292185515492568]]
124 [[51.539791525932515, -0.15289861072037467], [51.539645482924755, -0.1525601888045993]]
125 [[51.525234782435014, -0.1430417984652022], [51.5251478972715, -0.1430624100136369]]
126 [[51.525747135510024, -0.13350496457724823], [51.52571549801711, -0.13359698039976622]]
127 [[51.52327741619851, -0.12515879306815117], [51.52338295859019, -0.12524217683237937]]
128 [[51.55783095867481, -0.14781462560354464], [51.55789360192853, -0.14787660468736386]]
129 [[51.518055409110815, -0.13417924420575922], [51.518206214574064, -0.13377697847482936]]
130 [[51.54173678346528, -0.15665389505460048], [51.54227728774017, -0.15580427167189795]]
131 [[51.54596473511236, -0.14395271575761834], [51.54615577360465, -0.14393943017598085]]
132 [[51.521944860508206, -0.1404584162417894], [51.52185114759447, -0.1403449719918904]]
133 [[51.539403049784624, -0.13549560379252937], [51.539526389341844, -0.1352184062900561]]
134 [[51.52031795776093, -0.12608009498087783], [51.52042591624985, -0.12620616384294328]]
135 [[51.535797540625396, -0.1463220195627362], [51.53572094919453, -0.14615553842208712]]
136 [[51.526684494834335, -0.12465237502033276], [51.526656293862835, -0.12474047569232899]]
137 [[51.518997566377585, -0.11612118011936029], [51.519043160825845, -0.11573039111208402]]
138 [[51.53586299724129, -0.1414935173592208], [51.535817464664, -0.1414513666051034]]
139 [[51.558863645442855, -0.14386601339486652], [51.55849515955024, -0.1435142595352815]]
140 [[51.53845499732331, -0.1335377342249257], [51.538348421161785, -0.13342394689014317]]
141 [[51.54875240955992, -0.1386967412192287], [51.549404280795, -0.13856077092619903]]
142 [[51.52851777339105, -0.1420410476460972], [51.528519151580355, -0.1413880902578814]]
143 [[51.51960244244831, -0.13203070821441287], [51.51945509660852, -0.1323687742846521]]
144 [[51.557368178977235, -0.16790662952114174], [51.557319400008566, -0.16798039444967272]]
145 [[51.53623132433798, -0.1418338195507512], [51.536008945073505, -0.14162862529781658]]
146 [[51.53766230306794, -0.14312167352214647], [51.53736705958724, -0.14286199891733742]]
147 [[51.52126951930284, -0.1361358779367665], [51.52150763895865, -0.13638564508101544]]
148 [[51.52393448792958, -0.14054304250800892], [51.52391107251191, -0.14065439789680254]]
149 [[51.52764185328177, -0.1281186966859615], [51.52753238689771, -0.12821850983520167]]
150 [[51.528516988577714, -0.14241287586420978], [51.528517318908456, -0.14225637203773092]]
151 [[51.551004531435474, -0.14905524245892388], [51.55085390460963, -0.1495406910981799]]
152 [[51.515403805450475, -0.12125799846308263], [51.51546654597915, -0.12116444015119986]]
153 [[51.54308353335417, -0.14906637051491048], [51.54336154351567, -0.1490811481725502]]
154 [[51.5307029332639, -0.1331354868797284], [51.53057212153542, -0.1329872046485802]]
155 [[51.5425890473969, -0.16633765226270644], [51.54275070018486, -0.16638595607762938]]
